altitude,id,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks,executionTime
,2,K3_FULL,15541,3/5/2019 10:24,41.87647,,-87.62034,60605,Buckingham Fountain,,Buckingham Fountain,IN_SERVICE,1,In Service,FALSE,39,3/5/2019 10:27
,3,K3_FULL,15544,3/5/2019 10:25,41.86722596,,-87.61535539,,Shedd Aquarium,,Shedd Aquarium,IN_SERVICE,1,In Service,FALSE,55,3/5/2019 10:27
,4,K3_FULL,15545,3/5/2019 10:26,41.856268,,-87.613348,,Burnham Harbor,,Burnham Harbor,IN_SERVICE,1,In Service,FALSE,23,3/5/2019 10:27
,5,K3_FULL,13030,3/5/2019 10:24,41.874053,620 S. State St.,-87.627716,60605,State St & Harrison St,,State St & Harrison St,IN_SERVICE,1,In Service,FALSE,23,3/5/2019 10:27
,6,K3_FULL,15548,3/5/2019 10:26,41.886976,,-87.612813,60601,Dusable Harbor,,Dusable Harbor,IN_SERVICE,1,In Service,FALSE,39,3/5/2019 10:27
,7,K3_FULL,15534,3/5/2019 10:25,41.88634906,,-87.61751655,60601,Field Blvd & South Water St,,Field Blvd & South Water St,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,9,K3_FULL,15695,3/5/2019 10:24,41.82879202,NA1,-87.68060446,60609,Leavitt St & Archer Ave,,Leavitt St & Archer Ave,IN_SERVICE,1,In Service,FALSE,14,3/5/2019 10:27
,11,K3_FULL,15496,3/5/2019 10:24,41.76663824,,-87.57645011,60649,Jeffery Blvd & 71st St,,Jeffery Blvd & 71st St,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,12,K3_FULL,15497,3/5/2019 10:25,41.76640946,MLSW,-87.56568757,60649,South Shore Dr & 71st St,,South Shore Dr & 71st St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,13,K3_FULL,13066,3/5/2019 10:25,41.932418,2790 N.Wilton Ave,-87.652705,60614,Wilton Ave & Diversey Pkwy,,Wilton Ave & Diversey Pkwy,IN_SERVICE,1,In Service,FALSE,35,3/5/2019 10:27
,14,K3_FULL,13163,3/5/2019 10:23,41.858086,962 W. 18th St,-87.651073,60608,Morgan St & 18th St,,Morgan St & 18th St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,15,K3_FULL,13164,3/5/2019 10:25,41.858166,1726 S Racine Ave,-87.656495,60608,Racine Ave & 18th St,,Racine Ave & 18th St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,16,K3_FULL,13223,3/5/2019 10:24,41.910337,1575 N Paulina Ave,-87.670072,60622,Paulina Ave & North Ave,,Paulina Ave & North Ave,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,17,K3_FULL,13246,3/5/2019 10:23,41.903119, W. Divison St,-87.673935,60622,Honore St & Division St,,Honore St & Division St,IN_SERVICE,1,In Service,FALSE,23,3/5/2019 10:27
,18,K3_FULL,15536,3/5/2019 10:23,41.883132,,-87.637321,60606,Wacker Dr & Washington St,,Wacker Dr & Washington St,IN_SERVICE,1,In Service,FALSE,17,3/5/2019 10:27
